Item Name,Supplier,Quantity,Cost Per Unit,Total Cost,Expiry Date,Storage Location,Stock Status,Order Date,Delivery Date
Alone Sanitizers,MedSupplies,144,487.83,70247.52,03/12/2026,Main Hospital,Low Stock,05/12/2022,29/12/2024
Foot Diagnostic Tools,CareWell,152,334.54,50850.08,01/05/2027,Clinic Branch,Available,16/03/2023,13/04/2023
Air Diagnostic Tools,CareWell,258,481.12,124128.96,29/12/2026,Emergency Storage,Out of Stock,13/08/2024,
Child Diagnostic Tools,MediCorp,234,405.56,94901.04,11/10/2025,Warehouse B,Low Stock,14/09/2022,25/02/2025
Exactly Medicine,MediCorp,57,284.75,16230.75,17/04/2027,Main Hospital,Available,14/10/2022,06/01/2024
Kid Sanitizers,CareWell,150,149.46,22419,05/12/2025,Clinic Branch,Available,17/10/2024,28/11/2024
Religious Diagnostic Tools,HealthFirst,201,346.09,69564.09,16/03/2027,Warehouse B,Out of Stock,17/08/2023,18/06/2024
Pick Medicine,CareWell,29,390.25,11317.25,17/08/2027,Main Hospital,Available,31/08/2024,
Church Surgical Equipment,CareWell,172,158.98,27344.56,14/12/2027,Clinic Branch,Low Stock,23/08/2023,01/06/2024
Age Medicine,CareWell,130,8.5,1105,15/02/2028,Clinic Branch,Available,25/06/2024,20/07/2024
After Personal Protective Equipment,CareWell,119,81.19,9661.61,25/04/2027,Emergency Storage,Low Stock,31/08/2023,10/11/2023
Region Surgical Equipment,MediCorp,261,332.54,86792.94,03/09/2027,Warehouse A,Low Stock,15/06/2024,30/08/2024
Bank Surgical Equipment,MediCorp,297,234.58,69670.26,24/01/2027,Warehouse B,Out of Stock,24/12/2024,18/02/2025
Strong Sanitizers,,1,296.6,296.6,01/07/2026,Warehouse B,Available,14/11/2023,24/04/2024
Size Medicine,HealthFirst,285,258.15,73572.75,31/01/2025,Warehouse A,Out of Stock,31/03/2024,19/12/2024
Hospital Diagnostic Tools,MedSupplies,68,316.55,21525.4,19/08/2025,Warehouse B,Out of Stock,01/10/2024,16/12/2024
She Surgical Equipment,MedSupplies,62,105.55,6544.1,18/02/2027,Emergency Storage,Low Stock,13/06/2022,
Sound Sanitizers,MediCorp,259,14.41,3732.19,09/03/2025,Main Hospital,Low Stock,15/06/2024,21/10/2024
Media Diagnostic Tools,MedSupplies,46,337.14,15508.44,15/11/2025,Warehouse A,Out of Stock,27/07/2022,12/09/2022
