,id,item_name,supplier,quantity,cost_per_unit,total_cost,expiry_date,location,stock_status,order_date,delivery_date,delivery_status,days_to_expiry,expiry_status
0,0,Alone Sanitizers,Medsupplies,144,487.83,70247.52,03/12/2026,Main Hospital,Low Stock,05/12/2022,29/12/2024,Delivered,645,Valid
1,1,Foot Diagnostic Tools,Carewell,152,334.54,50850.08,01/05/2027,Clinic Branch,Available,16/03/2023,13/04/2023,Delivered,794,Valid
2,2,Air Diagnostic Tools,Carewell,258,481.12,124128.96,29/12/2026,Emergency Storage,Out Of Stock,13/08/2024,Not Delivered,Pending,671,Valid
3,3,Child Diagnostic Tools,Medicorp,234,405.56,94901.04,11/10/2025,Warehouse B,Low Stock,14/09/2022,25/02/2025,Delivered,227,Valid
4,4,Exactly Medicine,Medicorp,57,284.75,16230.75,17/04/2027,Main Hospital,Available,14/10/2022,06/01/2024,Delivered,780,Valid
5,5,Kid Sanitizers,Carewell,150,149.46,22419,05/12/2025,Clinic Branch,Available,17/10/2024,28/11/2024,Delivered,282,Valid
6,6,Religious Diagnostic Tools,Healthfirst,201,346.09,69564.09,16/03/2027,Warehouse B,Out Of Stock,17/08/2023,18/06/2024,Delivered,748,Valid
7,7,Pick Medicine,Carewell,29,390.25,11317.25,17/08/2027,Main Hospital,Available,31/08/2024,Not Delivered,Pending,902,Valid
8,8,Church Surgical Equipment,Carewell,172,158.98,27344.56,14/12/2027,Clinic Branch,Low Stock,23/08/2023,01/06/2024,Delivered,1021,Valid
9,9,Age Medicine,Carewell,130,8.5,1105,15/02/2028,Clinic Branch,Available,25/06/2024,20/07/2024,Delivered,1084,Valid
10,10,After Personal Protective Equipment,Carewell,119,81.19,9661.61,25/04/2027,Emergency Storage,Low Stock,31/08/2023,10/11/2023,Delivered,788,Valid
11,11,Region Surgical Equipment,Medicorp,261,332.54,86792.94,03/09/2027,Warehouse A,Low Stock,15/06/2024,30/08/2024,Delivered,919,Valid
12,12,Bank Surgical Equipment,Medicorp,297,234.58,69670.26,24/01/2027,Warehouse B,Out Of Stock,24/12/2024,18/02/2025,Delivered,697,Valid
13,13,Strong Sanitizers,Unknown,1,296.6,296.6,01/07/2026,Warehouse B,Available,14/11/2023,24/04/2024,Delivered,490,Valid
14,14,Size Medicine,Healthfirst,285,258.15,73572.75,31/01/2025,Warehouse A,Out Of Stock,31/03/2024,19/12/2024,Delivered,-26,Expired
15,15,Hospital Diagnostic Tools,Medsupplies,68,316.55,21525.4,19/08/2025,Warehouse B,Out Of Stock,01/10/2024,16/12/2024,Delivered,174,Valid
16,16,She Surgical Equipment,Medsupplies,62,105.55,6544.1,18/02/2027,Emergency Storage,Low Stock,13/06/2022,Not Delivered,Pending,722,Valid
17,17,Sound Sanitizers,Medicorp,259,14.41,3732.19,09/03/2025,Main Hospital,Low Stock,15/06/2024,21/10/2024,Delivered,11,Valid
18,18,Media Diagnostic Tools,Medsupplies,46,337.14,15508.44,15/11/2025,Warehouse A,Out Of Stock,27/07/2022,12/09/2022,Delivered,262,Valid
19,19,Those Medicine,Carewell,31,277.1,8590.1,14/03/2026,Warehouse A,Available,14/03/2022,08/04/2023,Delivered,381,Valid
20,20,Daughter Sanitizers,Healthfirst,224,322.77,72300.48,11/09/2024,Main Hospital,Out Of Stock,04/06/2023,24/08/2023,Delivered,-168,Expired
21,21,Bad Medicine,Healthfirst,290,213.29,61854.1,03/02/2026,Warehouse A,Out Of Stock,13/09/2022,13/10/2023,Delivered,342,Valid
22,22,Type Medicine,Medsupplies,247,495.48,122383.56,07/12/2026,Main Hospital,Available,28/07/2022,14/04/2023,Delivered,649,Valid
23,23,National Sanitizers,Healthfirst,145,477.16,69188.2,20/01/2025,Warehouse A,Low Stock,30/07/2022,27/02/2023,Delivered,-37,Expired
